"Ticker"
"ALUA"
"BBAR"
"BMA"
"BYMA"
"CEPU"
"COME"
"CRES"
"CVH"
"EDN"
"GGAL"
"LOMA"
"MIRG"
"PAMP"
"SUPV"
"TECO2"
"TGNO4"
"TGSU2"
"TRAN"
"TXAR"
"VALO"
"YPFD"
"AGRO"
"AUSO"
"BHIP"
"BOLT"
"BPAT"
"BRIO"
"BRIO6"
"CADO"
"CAPX"
"CARC"
"CECO2"
"CELU"
"CGPA2"
"CRE3W"
"CTIO"
"DGCU2"
"DOME"
"DYCA"
"FERR"
"FIPL"
"GAMI"
"GARO"
"GBAN"
"GCLA"
"GGALD"
"GRIM"
"HAVA"
"INTR"
"INVJ"
"IRCP"
"IRS2W"
"IRSA"
"LEDE"
"LONG"
"METR"
"MOLA"
"MOLI"
"MORI"
"MTR"
"OEST"
"PATA"
"PGR"
"POLL"
"RICH"
"RIGO"
"ROSE"
"SAMI"
"SEMI"
"TGLT"
"TXARD"
